iteration:0, loss:6.72748685611642, w:1.036399843692044, b:-0.023617407242079242
iteration:50, loss:0.012425901459416997, w:1.474559184909668, b:0.03696607223293895
iteration:100, loss:0.010910839733358763, w:1.4752238630725867, b:0.06357168142012291
iteration:150, loss:0.010700972799653962, w:1.4754712451635148, b:0.07347384399793698
iteration:200, loss:0.010671901951182854, w:1.4755633166385929, b:0.07715926322767941
iteration:250, loss:0.010667875046058182, w:1.4755975841010887, b:0.07853091460102553
iteration:300, loss:0.01066731723760964, w:1.4756103378772707, b:0.0790414202918893
iteration:350, loss:0.010667239969768585, w:1.4756150846193712, b:0.07923142196831275
iteration:400, loss:0.010667229266597474, w:1.475616851277359, b:0.07930213741319384
iteration:450, loss:0.010667227783990083, w:1.4756175087979027, b:0.07932845651857681
iteration:500, loss:0.010667227578618757, w:1.4756177535160475, b:0.07933825204923241
iteration:550, loss:0.010667227550170626, w:1.4756178445960464, b:0.07934189778184482
iteration:600, loss:0.010667227546229998, w:1.475617878494498, b:0.07934325466252322
iteration:650, loss:0.010667227545684119, w:1.4756178911109346, b:0.07934375967080855
iteration:700, loss:0.01066722754560852, w:1.475617895806561, b:0.07934394762644266
iteration:750, loss:0.010667227545598035, w:1.4756178975541947, b:0.07934401758038484
iteration:800, loss:0.010667227545596587, w:1.4756178982046348, b:0.07934404361607166
iteration:850, loss:0.010667227545596417, w:1.4756178984467176, b:0.07934405330611859
iteration:900, loss:0.010667227545596363, w:1.475617898536817, b:0.07934405691259196
iteration:950, loss:0.01066722754559637, w:1.4756178985703503, b:0.079344058254861
Final loss:0.010667227545596347, w:1.475617898582683, b:0.07934405874851863
